type,source_id,source,unassigned_works
article,S4306493659,고시계,2085
article,S4306495048,아동문학평론,2082
other,S4406923058,Seoul Metropolitan Library,2079
paratext,S4306462757,Aarhus University Press eBooks,2078
article,S4306402197,Електронний архів наукових та освітніх матеріалів КПІ ім. Ігоря Сікорського (КПІ ім. Ігоря Сікорського),2077
paratext,S4306401280,DOAJ (DOAJ: Directory of Open Access Journals),2075
dataset,S7407050779,"Natural History Museum, London",2072
article,S7407055231,Bulgarian Portal for Open Science,2070
other,S4306401576,Digital Collections (East Carolina University),2069
article,S116566766,The Journal of the American Dental Association,2065
article,S4210221755,Nihon Naika Gakkai Zasshi,2063
article,S11097115,Public Health,2062
paratext,S4306481914,University of Tennessee Press eBooks,2049
article,S163495685,Music Educators Journal,2042
article,S7407055264,eKNUTSHIR,2034
report,S7407055123,WU Research,2032
paratext,S104830714,FEBS Letters,2032
other,S4306400792,University of North Texas Digital Library (University of North Texas),2030
article,S167378199,Anthropology News,2025
article,S3774022,The Journal of Pediatrics,2017
other,S7407064443,"Institute of Process Engineering, CAS Institutional Repository",2007
dataset,S7407052274,NRCT Data Center,1984
article,S4377196796,Institutional Digital Library (Federal Senate),1984
other,S4306402258,"Electronic Institutional Repository of the National Aviation University of Ukraine (National Aviation University, Ukraine)",1981
paratext,S4306464212,University Press of Florida eBooks,1976
article,S11454955,Inpharma Weekly,1975
paratext,S168828829,Eos,1974
article,S4306494664,창작과비평,1967
other,S4306400126,ELTE Digital Institutional Repository (EDIT) (Eötvös Loránd University),1963
other,S4306401748,Intellectum (Universidad de La Sabana),1963
paratext,S4306401271,RePEc: Research Papers in Economics,1958
article,S4210240034,The Reference Collection of Annual Meeting,1953
paratext,S4377196299,Project Muse (Johns Hopkins University),1953
article,S4306493943,경향잡지,1952
paratext,S4210186231,The Journal of Comparative Neurology,1951
other,S4306402185,Borys Grinchenko Kyiv University Institutional repository (Borys Grinchenko Kyiv University),1947
paratext,S4210202639,Journal of the Society of Chemical Industry,1932
article,S121735603,Surgical Neurology,1929
paratext,S4306464203,University of Virginia Press eBooks,1928
article,S4210200310,THE JOURNAL OF THE STOMATOLOGICAL SOCIETY JAPAN,1913
dataset,S4363607695,International Year Book and Statesmen's Who's Who,1909
other,S4306400803,El Servicio de Difusión de la Creación Intelectual (National University of La Plata),1904
other,S4306401479,Holmes Museum Of Anthropology (Wichita State University),1904
article,S198132698,Journal of The Surface Finishing Society of Japan,1897
paratext,S4306464179,University of Massachusetts Press eBooks,1892
article,S4306494046,문예운동,1890
article,S4306401128,ResearchWorks at the University of Washington (University of Washington),1889
paratext,S4306464169,University of Illinois Press eBooks,1881
other,S4306400400,Digital library of Zielona Gora (University of Zielona Góra),1870
article,S4306494047,문학춘추,1856
paratext,S126033908,Cancer,1856
other,S4377196325,Okayama University Scientific Achievement Repository (Okayama University),1850
article,S2764955433,Bulletin of the Japan Institute of Metals,1846
dataset,S4306402433,"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)",1842
article,S107642792,The Expository Times,1838
paratext,S86387881,The Laryngoscope,1832
article,S4306401959,The scientific electronic library of periodicals of the National Academy of Sciences of Ukraine (National Academy of Sciences of Ukraine),1831
other,S4306400523,Discovery Research Portal (University of Dundee),1831
other,S4377196145,"Institutional Repository of Guangzhou Institute of Energy Research, Chinese Academy of Sciences",1831
other,S4306400518,UR Research (University of Rochester),1821
paratext,S100787194,Phytotaxa,1821
paratext,S4306486300,Canadian Museum of History eBooks,1820
dataset,S7407052332,ARIM Data Portal,1815
dataset,S7407052475,Qatar National Library,1815
paratext,S4306463862,Royal Society of Chemistry eBooks,1815
other,S7407051782,Langues et civilisations à tradition orale,1812
other,S4306400829,Sycamore Scholars (Indiana State University),1806
other,S4306401085,GrazMuseum Online (GrazMuseum),1806
other,S4306401333,Brock University Digital Repository (Brock University),1789
other,S7407064446,NORA - Norwegian Open Research Archives,1788
paratext,S4306463823,Purdue University Press eBooks,1786
article,S4210207162,Jikken igaku zasshi,1783
report,S4306400758,NERC Open Research Archive (Natural Environment Research Council),1783
article,S4210187838,Electrical Engineering,1781
article,S4306402292,Digital Collections of Colorado (Colorado State University),1781
other,S7407064297,University of Michigan Library Repository,1781
dataset,S4363604124,Encyclopaedia of the Qurʾān,1776
article,S4210187385,Nippon Jibiinkoka Gakkai Kaiho,1776
paratext,S140251998,Journal of Biological Chemistry,1776
paratext,S95865439,CrystEngComm,1769
article,S4377196272,Digital Commons - University of South Florida (University of South Florida),1768
report,S7407055191,Lithuanian University of Health Sciences,1767
article,S41650241,The Journal of Philosophy,1766
report,S4377196282,Figshare,1762
article,S111727011,Neurosurgery,1761
report,S7407055455,Federal Open Science Repository of Canada / Le Dépôt fédéral de science ouverte du Canada,1759
article,S66124381,IEEE Spectrum,1754
article,S4306402460,Knowledge@UChicago (University of Chicago),1747
dataset,S7407060599,DataverseNO - USN,1745
article,S2738112740,Journal Of Babylon Center for Humanities Studies,1743
article,S2764385719,Journal of Architecture and Planning (Transactions of AIJ),1732
paratext,S50280174,Radiology,1730
dataset,S4363604101,http://isrctn.com/,1729
article,S2764951900,Transactions of the Architectural Institute of Japan,1725
dataset,S7407050528,AIP Publishing,1718
article,S19366293,Journal of Japan Society for Fuzzy Theory and Intelligent Informatics,1718
article,S4306400934,Repository of Vinnytsia National Technical University (Vinnytsia National Technical University),1710
other,S7407064315,Newton Gresham Library Digital Collections,1706
paratext,S62468778,New England Journal of Medicine,1703
article,S7407051237,e-manuscripta,1702
article,S4210230924,Journal of the Japan Society for Precision Engineering,1701
article,S4210240480,Chuoujuikaizasshi,1687
paratext,S4306463402,Iberoamericana Vervuert eBooks,1687
dataset,S7407052903,Universität Hamburg,1685
report,S4306400149,PSU Knowledge Bank (Prince of Songkla University),1685
paratext,S4406923040,Persée (Ministère de lEnseignement supérieur et de la Recherche),1681
paratext,S171987449,Zeitschrift für anorganische und allgemeine Chemie,1679
paratext,S2737892101,Journal of Applied Bioanalysis,1672
other,S7407064273,CONTENTdm Server Respository,1664
paratext,S4306463546,Les Presses de l'Université de Montréal eBooks,1664
paratext,S194011547,Asian Survey,1662
article,S150273397,Journal of the American Dietetic Association,1660
other,S7407051296,IFREMER Sample Repository,1659
other,S7407052952,TIB KMO / FLOWWORKS GmbH,1657
dataset,S7407051892,JPL Data,1655
paratext,S91099313,Acta Medica Scandinavica,1655
paratext,S4306463451,Intellect Books,1653
article,S4210196053,Man,1652
article,S4306400860,Kumamoto University Repository (Kumamoto University),1648
article,S144402922,Japanese Sociological Review,1647
article,S14544163,Medicine & Science in Sports & Exercise,1638
paratext,S4306464233,Vanderbilt University Press eBooks,1638
paratext,S4306463226,El Colegio de México eBooks,1626
paratext,S4306463969,Syracuse University Press eBooks,1624
article,S4210185526,The Journal of the Institute of Electrical Engineers of Japan,1623
paratext,S125795645,Chemie Ingenieur Technik,1623
article,S4210194233,Victorian reports,1616
report,S4306400757,eCommons (Cornell University),1616
paratext,S23181512,Nanoscale,1616
paratext,S38943393,DMW - Deutsche Medizinische Wochenschrift,1613
article,S105746325,The Analyst,1611
other,S7407055116,İzmir Katip Celebi University,1611
dataset,S7407051745,Strasbourg Astronomical Data Center,1609
other,S7407051637,University of Ioannina,1606
other,S4306401204,Document Repository (Universitas Andalas),1602
paratext,S2764437742,Journal of Materials Chemistry A,1597
other,S4363604058,Electronic Enlightenment Scholarly Edition of Correspondence,1595
other,S4306400393,Deep Blue (University of Michigan),1594
other,S4306400885,Mercer University Libraries (Mercer University),1594
paratext,S4210191012,Izvestia Orenburg State Agrarian University,1591
dataset,S4363604111,"Encyclopaedia of Islam, First Edition (1913-1936)",1589
report,S7407050729,Archaeology Data Service,1585
article,S4306402276,UND Scholarly Commons (University of North Dakota),1584
report,S4306400952,Calhoun: The Naval Postgraduate School Institutional Archive (Naval Postgraduate School),1579
article,S100736837,Plastic & Reconstructive Surgery,1577
article,S2764966405,Nihon Bika Gakkai Kaishi (Japanese Journal of Rhinology),1569
article,S180263418,Journal of Visual Impairment & Blindness,1567
paratext,S165651092,International Journal for Numerical Methods in Engineering,1565
paratext,S4306462787,Akademie Verlag eBooks,1562
article,S4377196525,Repository of Samara University (Samara National Research University),1556
paratext,S2500738039,Journal of Materials Chemistry C,1555
paratext,S4306464204,University of Wales Press eBooks,1553
other,S7407051906,Division Technique de l'INSU,1548
other,S4306400315,Repositorio Digital (Escuela Politécnica Nacional),1545
other,S7407051639,University of Peloponnese,1540
other,S7407055439,Repository of Open Collections and Knowledge (ROCK),1536
paratext,S2479884170,Journal of Materials Chemistry B,1536
other,S4306401067,Radboud Repository (Radboud University),1532
other,S4306401835,Adelaide Research & Scholarship (AR&S) (University of Adelaide),1522
paratext,S122176235,The American Naturalist,1519
paratext,S23243006,Veterinary Record,1519
paratext,S4306481760,University of Colorado Press eBooks,1515
dataset,S7407051490,Syracuse University Qualitative Data Repository,1512
dataset,S7407053005,Universitäts- und Landesbibliothek Münster,1510
other,S4377196555,infoteca-e (Brazilian Agricultural Research Corporation),1496
other,S7407051460,Georgia State University Repository,1496
paratext,S4306525036,PubMed,1491
paratext,S71285955,American Journal of Clinical Nutrition,1490
other,S4306400975,"RUA, Repositorio Institucional de la Universidad de Alicante (Universidad de Alicante)",1487
other,S4306402467,DigitalGeorgetown (Georgetown University Library),1486
report,S7407055454,ORBi UMONS,1475
dataset,S7407053212,USGS DOI Tool Production Environment,1474
paratext,S58498366,Journal of Periodontology,1472
paratext,S316438,Chemical Society Reviews,1465
paratext,S199498439,Acta Psychiatrica Scandinavica,1464
paratext,S45305740,Journal of Materials Chemistry,1464
other,S7407051246,"E-Pics 6, Sternwarte",1454
paratext,S187215728,Polymer Chemistry,1453
paratext,S170358085,Analytical Methods,1452
other,S7407053000,Universitätsbibliothek Tübingen,1451
dataset,S7407064227,Filmoteca,1449
report,S4306400786,Americanae (AECID Library),1441
paratext,S71584477,Bulletin of the American Mathematical Society,1441
paratext,S25774322,Juristische Rundschau,1440
paratext,S4306471920,Hamilton eBooks,1437
paratext,S4210205341,Zeitschrift für Elektrochemie und angewandte physikalische Chemie,1436
paratext,S4306401616,"AgEcon Search (University of Minnesota, USA)",1429
paratext,S4306490186,Universidad del Externado de Colombia eBooks,1421
report,S4306401696,Econstor (Econstor),1419
dataset,S7407060106,Outils et Ressources pour un Traitement Optimisé de la LANGue,1418
dataset,S4306400334,Science and Technology Facilities Council,1413
paratext,S4306464034,UCL Press eBooks,1406
dataset,S7407052304,Borealis,1392
paratext,S4377196368,UNM’s Digital Repository (University of New Mexico),1389
other,S4306400662,Research Explorer (The University of Manchester),1387
other,S7407051904,COCOON,1380
report,S4306401983,Research at the University of Copenhagen (University of Copenhagen),1378
dataset,S7407051990,ESA,1377
paratext,S164128033,Science News,1377
paratext,S4210222064,Journal of Experimental Zoology,1375
report,S7407050551,Archaeological Map of the Czech Republic,1366
paratext,S7407064432,DalSpace (Dalhousie University),1365
report,S2809516038,National Bureau of Economic Research,1364
other,S7407055335,"Centrum Wiskunde & Informatica (CWI), the national research institute for mathematics and computer science in the Netherlands",1364
other,S7407055233,TNO Repository,1359
dataset,S7407050885,UC Santa Barbara,1357
paratext,S45720283,British Journal of Dermatology,1357
dataset,S4306400393,Deep Blue (University of Michigan),1351
paratext,S24940445,American Water Works Association,1349
other,S4306400255,BIBSYS Brage (BIBSYS (Norway)),1346
other,S4306402036,OpenstarTs (Univeristy of Trieste https://www.units.it/),1346
dataset,S4363604117,"Encyclopaedia of Islam, Second Edition, Glossary and Index of Terms",1338
report,S4306401934,Open Repository of the University of Porto (University of Porto),1338
dataset,S7407052970,RepOD,1336
other,S4306400256,Acervo Digital da Universidade Estadual Paulista (Universidade Estadual Paulista),1329
other,S7407051545,University Library Heidelberg,1329
paratext,S137865625,Surface Science,1328
paratext,S4210219161,Nordisk Medicinskt Arkiv Avd 2,1325
paratext,S178469169,Acta Paediatrica,1320
dataset,S4363604059,CABI Compendium,1319
dataset,S7407051487,UNC Dataverse,1312
paratext,S88153332,Journal of Nutrition,1309
paratext,S102499938,American Anthropologist,1308
other,S7407050895,HEPData,1299
paratext,S4306463691,Ohio State University Press eBooks,1297
paratext,S36793815,New Journal of Chemistry,1292
other,S7407055450,Arca - Repositório Institucional da Fiocruz,1288
paratext,S5382288,International Journal of Cancer,1284
dataset,S7407050729,Archaeology Data Service,1279
paratext,S4306464192,University of Ottawa Press eBooks,1279
dataset,S7407052659,Data Archive for Social Sciences in Italy - DASSI,1275
paratext,S116836101,Lab on a Chip,1269
paratext,S200764475,Journal of Applied Polymer Science,1269
other,S4306401653,Dipòsit Digital de la Universitat de Barcelona (Universitat de Barcelona),1267
paratext,S4306463692,Ohio University Press eBooks,1264
paratext,S38766774,Surgical Clinics of North America,1262
other,S4306401412,DSpace repository (University of Tartu),1259
paratext,S108008259,Journal of Organometallic Chemistry,1258
paratext,S4210228690,Journal of the Society of Dyers and Colourists,1254
paratext,S156773718,School Science and Mathematics,1252
paratext,S4210210551,Journal of the Chemical Society Dalton Transactions,1252
dataset,S7407051058,The Dartmouth Institute,1251
other,S4306401253,Institutional Repository of the National University Open and Distance UNAD (Universidad Nacional Abierta y a Distancia),1245
paratext,S102125482,Journal of Pharmacology and Experimental Therapeutics,1245
paratext,S4306463623,Michigan State University Press eBooks,1241
paratext,S205086949,American Journal of Botany,1228
paratext,S7407064297,University of Michigan Library Repository,1223
dataset,S7407051491,University of Campinas,1221
dataset,S4363604108,Encyclopaedia Iranica Online,1220
dataset,S7407051768,NAKALA,1219
paratext,S4210201432,Journal of the Chemical Society Chemical Communications,1219
dataset,S7407050935,中国科学院科学数据中心,1218
other,S4306400149,PSU Knowledge Bank (Prince of Songkla University),1213
dataset,S7407051204,Earth Observing System Data and Information System,1211
dataset,S7407052779,Barbara A. Mikulski Archive for Space Telescopes,1198
other,S4306402624,TUScholarShare (Temple University),1196
dataset,S4363604092,Foreign Law Guide,1194
report,S7407055450,Arca - Repositório Institucional da Fiocruz,1192
other,S4306401249,Jagiellonian University Repository (Jagiellonian University),1185
other,S4306401731,VBN Forskningsportal (Aalborg Universitet),1173
other,S7407053136,University of Michigan Library,1171
other,S7407052985,Technische Universität Berlin – Universitätsbibliothek,1168
dataset,S7407053452,FAIRsharing.org,1160
report,S4306401559,KTH Publication Database DiVA (KTH Royal Institute of Technology),1156
other,S7407064235,Digital Collections at BYU,1143
other,S4306400318,Fraunhofer-Publica (Fraunhofer-Gesellschaft),1142
other,S4377196675,Our Digital Library (Warsaw University of Technology),1139
dataset,S7407052431,Wydawnictwo Politechniki Łódzkiej,1125
report,S4306401904,Jaea Originated Papers Searching System (National Research and Development Corporation Japan Atomic Energy Agency),1125
other,S7407050879,UC Berkeley,1115
dataset,S7407052712,The Chandra Data Archive,1104
report,S4306401681,Rivm (National Institute for Public Health and the Environment),1101
report,S4377196281,Issue Lab (Candid),1101
dataset,S4306503843,Authors group,1090
dataset,S7407051644,Space Physics Data Facility,1079
report,S7407055101,CNR ExploRA,1079
report,S4210201231,Socio-Environmental Systems Modeling,1057
dataset,S7407053154,Corpus of Stamp Seals from the Southern Levant,1052
report,S4306401621,Eureka! Institutional Repository (Eureka!),1052
report,S4406922641,TU/e Research Portal,1051
report,S4377196406,KeiO Associated Repository of Academic Resources (Keio University),1041
report,S4306400271,UA Campus Repository (The University of Arizona),1028
report,S4306401710,Institutional Repository (IHS Vienna),1028
dataset,S4363604148,Dead Sea Scrolls Electronic Library Non-Biblical Texts,1018
dataset,S7407060204,AIND Prod Repo,1018
